T [K],F [eV/atom]
111.85,-4.2630098552234825
111.86500000000002,-4.263009946803201
111.88000000000001,-4.263010038858662
111.89499999999995,-4.263010131384347
111.90999999999997,-4.263010224385936
111.92500000000004,-4.263010317878655
111.94000000000001,-4.263010411913978
111.95499999999998,-4.263010506458572
111.97000000000001,-4.263010601435759
111.98500000000003,-4.263010696768854
111.99999999999999,-4.2630107924157645
112.01500000000001,-4.263010888391047
112.03000000000006,-4.263010984644229
112.04499999999997,-4.26301108116664
112.06,-4.263011178003352
112.07500000000002,-4.263011275129681
112.08999999999999,-4.263011372523283
112.10499999999999,-4.263011470230979
112.11999999999995,-4.263011568245834
112.13500000000003,-4.263011666514834
112.15000000000002,-4.263011764984678
112.16500000000003,-4.26301186354436
112.17999999999995,-4.263011962056099
112.19499999999996,-4.263012060449075
112.21000000000004,-4.263012158747323
112.225,-4.26301225692241
112.24000000000007,-4.263012354986828
112.25500000000004,-4.263012453004641
112.27000000000002,-4.26301255100291
112.28499999999998,-4.263012648996896
112.29999999999997,-4.263012746993943
112.31500000000004,-4.263012845064474
112.32999999999996,-4.263012943303458
112.34499999999994,-4.2630130417932035
112.35999999999999,-4.26301314057666
112.37500000000001,-4.263013239694301
112.38999999999994,-4.26301333917887
112.40500000000003,-4.263013439011968
112.41999999999999,-4.2630135392048665
112.43500000000004,-4.263013639855418
112.44999999999999,-4.2630137410618865
112.46499999999996,-4.263013842923685
112.47999999999995,-4.263013945496317
112.49500000000003,-4.263014048766106
112.51000000000003,-4.263014152847879
112.52500000000008,-4.263014257857664
112.53999999999999,-4.263014363747256
112.55500000000005,-4.263014470531823
